"category","commodity","n_stages_reduced","stage_reduced","impact","baseline_impact","impact_norm"
"resource use/enrg/mj","cereals",4,"L3",10708238145262,10893784974797.3,0.982967643480701
"resource use/enrg/mj","cereals",5,"L1",10703458188110.6,10893784974797.3,0.982528865116483
"resource use/enrg/mj","cereals",6,"L4b",10702386115744.4,10893784974797.3,0.982430453740765
"impact potential/eutr/kg n eq","cereals",1,"L2",2883118631.54027,2949622661.21711,0.977453377155232
"impact potential/eutr/kg n eq","cereals",2,"L5",2847943662.69275,2949622661.21711,0.96552813352661
"impact potential/eutr/kg n eq","cereals",3,"L4a",2842092330.95254,2949622661.21711,0.96354437749668
"impact potential/eutr/kg n eq","cereals",4,"L1",2840205451.73674,2949622661.21711,0.962904675598328
"impact potential/eutr/kg n eq","cereals",5,"L3",2839705588.74599,2949622661.21711,0.962735208839978
"impact potential/eutr/kg n eq","cereals",6,"L4b",2839610957.51979,2949622661.21711,0.962703126354498
"impact potential/gcc/kg co2 eq","roots_tubers_fresh",1,"L5",1085529060872.8,1085818578948.76,0.999733364227165
"impact potential/gcc/kg co2 eq","roots_tubers_fresh",2,"L1",1085372505441.94,1085818578948.76,0.999589182285637
"impact potential/gcc/kg co2 eq","roots_tubers_fresh",3,"L4a",1085297745237.94,1085818578948.76,0.999520330816844
"impact potential/gcc/kg co2 eq","roots_tubers_fresh",4,"L3",1085294604078.4,1085818578948.76,0.999517437921476
