"L1","L2","L3","L4a","L4b","L5","impact_category","q025","q25","q50","q75","q975"
0,1,1,1,1,0,"resource use/enrg/mj",8990620646402.14,9357358568604.91,9607141443364.16,9780392390239.1,10219110362045.3
0,1,1,1,1,0,"resource use/land/m2*yr",3037694373644.93,3113647173640.04,3171449714234.64,3209114067816.79,3274515959930.12
0,1,1,1,1,0,"resource use/mine/kg",120532375016.94,124527001893.314,127016814212.081,128709565905.263,133455799097.864
0,1,1,1,1,0,"resource use/nren/mj",7713874729475.32,8052426551248.9,8289401050353.75,8443665454365.81,8829326813583.06
0,1,1,1,1,0,"resource use/ren/mj",1265846821084.68,1299933924563.96,1316287957383.67,1338239737207.94,1375501114479.73
0,1,1,1,1,0,"resource use/watr/m3",115912615684.872,117608636165.775,118386402875.72,119376800791.198,121504477920.158
0,1,1,1,1,1,"chemical releases/haps/kg",131814678.141758,137319546.344739,139648183.784952,142595756.281518,148348179.693587
0,1,1,1,1,1,"chemical releases/metl/kg",1144422.84119887,1201672.00725957,1232314.85872831,1250595.77928061,1303798.00946852
0,1,1,1,1,1,"chemical releases/pest/kg",63577714.3809996,65790825.5336011,66764969.0998391,67811863.3141674,69323470.3994881
0,1,1,1,1,1,"economic & social/jobs/jobs",22676283.939119,23428060.6783676,23771664.8480952,24128073.3275144,24657082.6761162
0,1,1,1,1,1,"economic & social/vadd/$",1503793310958.31,1574179106789.01,1605432054193.6,1637594169675.73,1723168141745.18
0,1,1,1,1,1,"impact potential/acid/kg so2 eq",5289788580.93452,5434169308.42332,5529809443.10375,5611537654.31049,5766203796.71791
0,1,1,1,1,1,"impact potential/etox/ctue",1989023395030.5,2064471715563.3,2095997820036.32,2126023654274.08,2168847305338.24
0,1,1,1,1,1,"impact potential/eutr/kg n eq",2344728638.19758,2414307009.31813,2452255542.74795,2484954343.51512,2557648676.03236
0,1,1,1,1,1,"impact potential/gcc/kg co2 eq",890442828938.192,913883513273.04,924697626113.073,938116653015.286,965699917124.427
0,1,1,1,1,1,"impact potential/hc/ctuh",155.863605308137,161.249278715283,164.303431256866,166.613080709569,171.760093933091
0,1,1,1,1,1,"impact potential/hnc/ctuh",814.86410291738,848.851775130938,861.019816307118,871.568642457803,903.3904939837
0,1,1,1,1,1,"impact potential/hrsp/kg pm2.5 eq",1010543558.81019,1037764752.05938,1054042869.58201,1066067852.50496,1100213519.96709
0,1,1,1,1,1,"impact potential/htox/ctuh",971.401872955849,1010.22154376584,1024.87111605267,1038.07922579091,1075.12725478079
0,1,1,1,1,1,"impact potential/ozon/kg cfc11 eq",278496.913649257,286907.208174436,291773.464268154,295758.288532907,304260.644832893
0,1,1,1,1,1,"impact potential/smog/kg o3 eq",35504269625.1492,36733382707.7734,37368748189.1536,38087647035.1132,39102454375.5027
0,1,1,1,1,1,"resource use/enrg/mj",8661172421236.67,9018534353711.66,9276194489331.52,9433616997172.44,9906179705363.97
0,1,1,1,1,1,"resource use/land/m2*yr",2772050909164.74,2898871814911.32,2986157509521.47,3054535776533.73,3161867551074.16
0,1,1,1,1,1,"resource use/mine/kg",114138791483.449,118161179920.611,120730686344.797,122441336695.477,127679097258.157
0,1,1,1,1,1,"resource use/nren/mj",7428851120808.05,7761596269719.61,8012216858644.25,8143741347264.35,8568939330216.61
0,1,1,1,1,1,"resource use/ren/mj",1223046483586.86,1253012041809.67,1270981515485.31,1294201800632.07,1334233979560.85
0,1,1,1,1,1,"resource use/watr/m3",104868441608.662,107937339275.668,109213424425.6,110510616585.68,113373577401.107
0.5,0,0,0,0,0,"chemical releases/haps/kg",155298573.514405,159264311.265679,161413793.634663,164286709.360591,169093361.972369
0.5,0,0,0,0,0,"chemical releases/metl/kg",1367491.74888998,1408178.91114269,1434818.90720834,1461850.26068742,1497949.75260135
0.5,0,0,0,0,0,"chemical releases/pest/kg",81268211.3807397,81437760.3196302,81515613.9552523,81607451.2157586,81870221.6382794
0.5,0,0,0,0,0,"economic & social/jobs/jobs",25350164.4307309,25950983.3263946,26357124.5043653,26698949.2645298,27153928.8363553
0.5,0,0,0,0,0,"economic & social/vadd/$",1703202471060.25,1767343466656.24,1799021719056.49,1837837799188.28,1909381039244.81
0.5,0,0,0,0,0,"impact potential/acid/kg so2 eq",6331146651.22861,6388518810.26059,6417833742.06349,6449691391.22261,6511163546.48601
0.5,0,0,0,0,0,"impact potential/etox/ctue",2556081157908.63,2561785616530.78,2564873494934.66,2567918789670.08,2577542795430.5
0.5,0,0,0,0,0,"impact potential/eutr/kg n eq",2891259736.39855,2912789626.01747,2925567087.05633,2935387187.8715,2957965436.69619
0.5,0,0,0,0,0,"impact potential/gcc/kg co2 eq",1056515424114.38,1071263861929.94,1079472433498.09,1088650399361.63,1104503998849.85
0.5,0,0,0,0,0,"impact potential/hc/ctuh",183.319577186772,188.061670964792,190.476095639539,192.701942025412,198.096542918717
0.5,0,0,0,0,0,"impact potential/hnc/ctuh",971.119418780396,995.903289093894,1009.69414526269,1019.72958397629,1045.37293187634
0.5,0,0,0,0,0,"impact potential/hrsp/kg pm2.5 eq",1246622096.78514,1253963190.17268,1258187808.59746,1262307774.62337,1273186599.1628
0.5,0,0,0,0,0,"impact potential/htox/ctuh",1154.43554424306,1183.95593234292,1200.43168074644,1212.56710502948,1243.20954387632
0.5,0,0,0,0,0,"impact potential/ozon/kg cfc11 eq",343690.25519935,346771.704038536,348004.491251042,349696.269954519,353022.038131306
