"BEA_389_code","BEA_389_def","Location","2012_US_Consumption","2012_US_Production"
"533000","Lessors of nonfinancial intangible assets","US",0,63705861572.7547
"541100","Legal services","US",109033699270.258,117873289891.984
"541200","Accounting, tax preparation, bookkeeping, and payroll","US",15512238600.3927,14592942160.5161
"541300","Architectural, engineering, and related services","US",44103452427.7104,64457486538.5173
"541400","Specialized design","US",3838444075.43359,3795985647.41984
"541511","Custom computer programming","US",203638198297.931,199272552015.894
"541512","Computer systems design","US",22107941094.9411,17867315810.3158
"54151A","Other computer related services, including facilities management","US",0,-805736106.78947
"541610","Management consulting","US",0,11207730407.5844
"5416A0","Environmental and other technical consulting services","US",0,167694025.434827
"541700","Scientific research and development","US",472179757333.284,472085638955.441
"541800","Advertising and public relations","US",1540430543.46231,7230117898.54718
"541920","Photographers","US",7697630158.92571,7692577894.44755
"541940","Veterinarians","US",22988913543.8129,22988913543.8129
"5419A0","Marketing research and all other miscellaneous professional, scientific, and technical services","US",0,1029021149.94112
"550000","Company and enterprise management","US",0,3253573670.45311
"561100","Office administration","US",0,0
"561200","Facilities support","US",0,0
"561300","Employment services","US",1077476178.70666,373755914.541913
"561400","Business support","US",4086212608.18215,4243218794.16833
"561500","Travel arrangement and reservation","US",16054270243.7973,16486418853.3984
"561600","Investigation and security","US",9230007791.74608,9231014665.07343
"561700","Buildings and dwellings services","US",14983130187.3114,15044148840.0799
"561900","Other support services","US",3191956657.89803,3739844958.99941
"562000","Waste management and remediation","US",23717720573.1066,23626224865.795
"611100","Elementary and secondary schools","US",42398524037.9562,42398524037.9562
"611A00","Colleges, universities, junior colleges, and professional schools","US",209222394446.565,210096160869.039
"611B00","Other educational services","US",56588328033.1649,56623244519.6199
"621100","Physicians","US",415268448092.365,415341589604.219
"621200","Dentists","US",110822602383.522,110822602383.522
"621300","Healthcare practitioners (except physicians and dentists)","US",81159510728.7121,81159510728.7121
"621400","Outpatient healthcare","US",103216566593.535,103221638511.149
"621500","Medical laboratories","US",34341678939.6171,34341678939.6171
"621600","Home healthcare","US",87576274088.7643,87576274088.7643
"621900","Ambulances","US",22864222306.8139,22864222306.8139
"622000","Hospitals","US",869740547750.151,867779067892.825
"623A00","Nursing and community care facilities","US",167829190842.303,167829190842.303
"623B00","Residential mental retardation, mental health, substance abuse and other facilities","US",41122841792.9051,41122841792.9051
"624100","Individual and family services","US",81634134718.9634,81634134718.9634
